id,question_stem,choices,urdu_question_stem,urdu_choices,answerKey
7-235,"In the desert, a hawk may enjoy an occasional","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['coyote', 'reptile', 'bat', 'scorpion'], dtype=object)}",صحرا میں، ایک باز کبھی کبھار کس چیز سے لطف اندوز ہو سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کویوٹ', 'رینگنے والا جانور', 'چمگادڑ', 'بچھو'], dtype=object)}",B
7-1167,A magnet will stick to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a belt buckle', 'a wooden table', 'a plastic cup',
       'a paper plate'], dtype=object)}",ایک مقناطیس چپک جائے گا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بیلٹ کے بکل سے', 'لکڑی کی میز سے', 'پلاسٹک کے کپ سے',
       'کاغذ کی پلیٹ سے'], dtype=object)}",A
1834,Shorter periods of daylight happen,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['October to December', 'November to March', 'December to April',
       'December to March'], dtype=object)}",دن کا دورانیہ مختصر ہوتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اکتوبر سے دسمبر تک', 'نومبر سے مارچ تک', 'دسمبر سے اپریل تک',
       'دسمبر سے مارچ تک'], dtype=object)}",D
9-872,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['northern-directing device', 'northern light reader',
       'northeastern winds', 'north central credit'], dtype=object)}",ایک شخص گھنے جنگل میں کھو گیا ہے اور اسے اپنا گھر تلاش کرنا ہے۔ وہ جانتا ہے کہ اس کا گھر جنوب میں ہے، جبکہ وہ خود شمال کی طرف جا رہا ہے۔ وہ ایک ___ کا استعمال کرکے گھر تلاش کر سکتا ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شمال کی سمت بتانے والا آلہ', 'شمالی روشنی پڑھنے والا',
       'شمال مشرقی ہوائیں', 'نارتھ سینٹرل کریڈٹ'], dtype=object)}",A
116,Where are you likely to find a nonrenewable resource?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a forest', 'a dam', 'a mine', 'a solar panel'], dtype=object)}",آپ کو ایک ناقابلِ تجدید وسیلہ کہاں ملنے کا امکان ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک جنگل', 'ایک ڈیم', 'ایک کان', 'ایک سولر پینل'], dtype=object)}",C
8-81,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['provide light due to wiring', 'provide light through plastic',
       'use light to heat the flashlight',
       'provide light due to moisture'], dtype=object)}",ایک شخص جنگل میں اپنے کتے کو تلاش کر رہا ہے اور اس کے پاس ایک ٹارچ ہے۔ ٹارچ میں دو بڑی بیٹریاں ہیں، جو,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وائرنگ کی وجہ سے روشنی فراہم کرتی ہیں',
       'پلاسٹک کے ذریعے روشنی فراہم کرتی ہیں',
       'ٹارچ کو گرم کرنے کے لیے روشنی کا استعمال کرتی ہیں',
       'نمی کی وجہ سے روشنی فراہم کرتی ہیں'], dtype=object)}",A
9-404,the summer solstice is on June 21st in the,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['in the south pacific', 'upper portion of earth',
       'lower portion of earth', 'the equator near the tropics'],
      dtype=object)}",۲۱ جون کو موسم گرما کا انقلابِ شمسی ___ میں ہوتا ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جنوبی بحرالکاہل میں', 'زمین کے بالائی حصے میں',
       'زمین کے نچلے حصے میں', 'خطِ استوا کے قریب مدارینی علاقوں میں'],
      dtype=object)}",B
8-310,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the owl is invisible', 'the mouse is oblivious',
       'the mouse is blind', 'the owl matches its background'],
      dtype=object)}",ایک چوہے کا شکار ایک بڑا سینگوں والا اُلّو کر رہا ہے۔ اُلّو چوہے کو غور سے دیکھ رہا ہے، اور چوہا اس بات سے بے خبر ہے کہ اس کا شکار کیا جا رہا ہے۔ چوہے کو پتا نہیں چل پا رہا کہ اُلّو کہاں ہے، کیونکہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اُلّو غیر مرئی ہے', 'چوہا غافل ہے', 'چوہا اندھا ہے',
       'اُلّو اپنے پس منظر سے میل کھاتا ہے'], dtype=object)}",D
1380,You would use a seismometer if,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['A mysterious rumble off the coast of Japan',
       'Someone farted in class', 'Kids were stomping on the floor',
       'to track the buzz of a bee'], dtype=object)}",آپ زلزلہ پیما کا استعمال کریں گے اگر,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جاپان کے ساحل کے قریب ایک پراسرار گڑگڑاہٹ ہو',
       'کلاس میں کوئی پاد مارے', 'بچے فرش پر پاؤں پٹخ رہے ہوں',
       'شہد کی مکھی کی بھنبھناہٹ کا پتہ لگانا ہو'], dtype=object)}",A
7-1133,Many animals that give birth to live young have,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['gills', 'scales', 'exoskeletons', 'legs'], dtype=object)}",بہت سے جانور جو زندہ بچے دیتے ہیں، ان کے ہوتے ہیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گلپھڑے', 'چھلکے', 'بیرونی ڈھانچہ', 'ٹانگیں'], dtype=object)}",D
9-295,A child will only grow if they are provided with,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a bed', 'education', 'inspiration', 'energy'], dtype=object)}",ایک بچہ صرف تب ہی نشوونما پائے گا جب اسے فراہم کی جائے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک بستر', 'تعلیم', 'ترغیب', 'توانائی'], dtype=object)}",D
9-512,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['swell', 'float', 'die', 'burn'], dtype=object)}",ہر چوبیس گھنٹے اور پچاس منٹ میں، چاند آبی ذخائر پر اثر ڈال سکتا ہے جس کی وجہ سے وہ...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ابھر جاتے ہیں', 'تیرنے لگتے ہیں', 'مر جاتے ہیں', 'جل جاتے ہیں'],
      dtype=object)}",A
7-1065,The many trees on a forest floor,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['are unable to decay', 'are able to regrow themselves',
       'are broken down for good', 'broke, passed, will decay'],
      dtype=object)}",جنگل کی زمین پر موجود بہت سے درخت,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بوسیدہ ہونے سے قاصر ہیں', 'خود کو دوبارہ اگانے کے قابل ہیں',
       'مکمل طور پر تحلیل ہو جاتے ہیں',
       'ٹوٹ گئے، گزر گئے، بوسیدہ ہو جائیں گے'], dtype=object)}",D
9-122,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['flip the car over', 'help the car go faster',
       ""conflict with the driver's goal"", 'move the car sideways'],
      dtype=object)}",ایک کار ہائی وے پر چل رہی ہے اور رفتار کی حد تک پہنچنے کی کوشش کر رہی ہے۔ تاہم، تیز ہوائیں کار کی ونڈشیلڈ سے ٹکرا رہی ہیں۔ اگرچہ ڈرائیور رفتار بڑھانے کی کوشش کر رہا ہے، لیکن تیز ہوائیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گاڑی کو الٹا دیتی ہیں', 'گاڑی کو تیز چلنے میں مدد کرتی ہیں',
       'ڈرائیور کے مقصد سے متصادم ہیں', 'گاڑی کو ایک طرف دھکیلتی ہیں'],
      dtype=object)}",C
8-78,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a mineral', 'a soft mineral', 'a liquid mineral',
       'a mineral melt'], dtype=object)}",ایک طالب علم ایک معدنی نمونے پر ناخن سے لکیر لگاتا ہے، تو اس معدنیات کو کیا کہا جا سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک معدنیات', 'ایک نرم معدنیات', 'ایک مائع معدنیات',
       'ایک پگھلی ہوئی معدنیات'], dtype=object)}",B
7-749,"An example of a chemical change is acid breaking down substances, another is","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['flour added to salt', 'milk added to water', 'corn added to soup',
       'lemon juice added to milk'], dtype=object)}",کیمیائی تبدیلی کی ایک مثال تیزاب کا مادوں کو توڑنا ہے، ایک اور مثال ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نمک میں آٹا ملانا', 'پانی میں دودھ ملانا', 'سوپ میں مکئی ڈالنا',
       'دودھ میں لیموں کا رس ملانا'], dtype=object)}",D
453,Matter in the gas phase has,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['fluctuating volume', 'turned up volume', 'turned down volume',
       'steady volume'], dtype=object)}",گیسی حالت میں مادہ رکھتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بدلتا ہوا حجم', 'بڑھا ہوا حجم', 'کم کیا ہوا حجم', 'مستحکم حجم'],
      dtype=object)}",A
9-439,an example of an excellent earth mover is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cat', 'dog', 'annelids', 'fish'], dtype=object)}",مٹی کھودنے والے کی ایک بہترین مثال ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بلی', 'کتا', 'اینیلڈز', 'مچھلی'], dtype=object)}",C
21,Which animal gives birth to live young?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Shark', 'Turtle', 'Giraffe', 'Spider'], dtype=object)}",کون سا جانور زندہ بچے پیدا کرتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شارک', 'کچھوا', 'زرافہ', 'مکڑی'], dtype=object)}",C
9-938,"As a plant's roots get bigger, they split apart","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['worms', 'water', 'granite', 'atoms'], dtype=object)}",جب پودے کی جڑیں بڑی ہوتی ہیں، تو وہ ____ کو توڑ دیتی ہیں۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کیںچوے', 'پانی', 'گرینائٹ', 'ایٹم'], dtype=object)}",C
1695,"In the wilderness, light pollution is?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['less', 'stronger', 'brighter', 'more widespread'], dtype=object)}",بیابان میں روشنی کی آلودگی کیسی ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کم', 'زیادہ شدید', 'زیادہ روشن', 'زیادہ پھیلی ہوئی'], dtype=object)}",A
9-1171,Water vapor is an example of what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['moistness', 'warmth', 'heat', 'coldness'], dtype=object)}",آبی بخارات کس چیز کی مثال ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نمی', 'گرماہٹ', 'حرارت', 'سردی'], dtype=object)}",A
9-1070,Heat and moisture in the ocean is a good recipe for,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a violent storm', 'violent sea animals', 'condensation',
       'inland storms'], dtype=object)}",سمندر میں حرارت اور نمی کس چیز کا باعث بنتی ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک شدید طوفان', 'متشدد سمندری جانور', 'عملِ تکثیف',
       'اندرونی طوفان'], dtype=object)}",A
9-650,"if the boiling point of water is attained, what ensues beyond this point?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the water turns evaporates rapidly', 'the water then solidifies',
       'the water becomes black', 'all of these'], dtype=object)}",اگر پانی کا نقطۂ اُبال حاصل ہو جائے تو اس کے بعد کیا ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پانی تیزی سے بھاپ بن جاتا ہے', 'پانی پھر ٹھوس ہو جاتا ہے',
       'پانی کالا ہو جاتا ہے', 'یہ تمام'], dtype=object)}",A
384,What is the most likely to be an effect of acid rain on an aquatic environment?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['decrease in plant life', 'increase in fish population',
       'increase in plant growth', 'cleaner and clearer water'],
      dtype=object)}",تیزابی بارش کا آبی ماحول پر سب سے زیادہ ممکنہ اثر کیا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نباتاتی زندگی میں کمی', 'مچھلیوں کی آبادی میں اضافہ',
       'پودوں کی نشوونما میں اضافہ', 'زیادہ صاف اور شفاف پانی'],
      dtype=object)}",A
1261,When the moon is full is has a different,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['size', 'weight', 'distance', 'appearance'], dtype=object)}",جب چاند پورا ہوتا ہے تو اس کی کیا چیز مختلف ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سائز', 'وزن', 'فاصلہ', 'ظاہری صورت'], dtype=object)}",D
9-1051,What happens when a hemisphere is tilted away from the sun?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cools', 'nothing', 'heats', 'warms'], dtype=object)}",جب کوئی نصف کرہ سورج سے دور جھک جاتا ہے تو کیا ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ٹھنڈا ہو جاتا ہے', 'کچھ نہیں ہوتا', 'حرارت بڑھ جاتی ہے',
       'گرم ہو جاتا ہے'], dtype=object)}",A
1320,One renewable fuel source is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['vegetable oil', 'coal', 'fossil fuel', 'petroleum fuel'],
      dtype=object)}",ایندھن کا ایک قابلِ تجدید ذریعہ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سبزیوں کا تیل', 'کوئلہ', 'رکازی ایندھن', 'پٹرولیم ایندھن'],
      dtype=object)}",A
9-676,I can use electrical energy to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Run a mile', 'Swim', 'bake a bagel', 'Rock climb'], dtype=object)}",میں برقی توانائی استعمال کر سکتا ہوں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک میل دوڑنے کے لیے', 'تیرنے کے لیے', 'ایک بیگل بیک کرنے کے لیے',
       'چٹان پر چڑھنے کے لیے'], dtype=object)}",C
9-128,On the list of a flower's goals would be to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['produce carbon dioxide', 'deroot and die', 'produce offspring',
       'remain sterile'], dtype=object)}",ایک پھول کے مقاصد کی فہرست میں شامل ہوگا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کاربن ڈائی آکسائیڈ پیدا کرنا', 'جڑ سے اکھڑ کر مر جانا',
       'نسل پیدا کرنا', 'بانجھ رہنا'], dtype=object)}",C
9-644,"A person wants to buy some reusable equipment for the kitchen, so they get","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['paper plates', 'ceramic plates', 'solo cups', 'plastic forks'],
      dtype=object)}",ایک شخص باورچی خانے کے لیے دوبارہ قابلِ استعمال سامان خریدنا چاہتا ہے، تو وہ لے گا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کاغذی پلیٹیں', 'چینی مٹی کی پلیٹیں', 'سولو کپ', 'پلاسٹک کے کانٹے'],
      dtype=object)}",B
7-342,The only stage of the water cycle process that is nonexistent is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['evaporation', 'evaluation', 'precipitation', 'condensation'],
      dtype=object)}",آبی چکر کے عمل کا واحد مرحلہ جو موجود نہیں ہے وہ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['تبخیر', 'جانچ', 'بارندگی', 'تکثیف'], dtype=object)}",B
8-73,which of these would more likely survive?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a lost dog by the river, with small rodents',
       'a cat left in the desert',
       'a man drifting a raft at sea without supplies', 'none of these'],
      dtype=object)}",ان میں سے کس کے بچنے کا امکان زیادہ ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['دریا کے کنارے ایک گمشدہ کتا، جہاں چھوٹے چوہے بھی ہوں',
       'صحرا میں چھوڑی گئی ایک بلی',
       'بغیر سامان کے سمندر میں ایک بیڑے پر بہتا ہوا آدمی',
       'ان میں سے کوئی نہیں'], dtype=object)}",A
7-30,The moon's surface,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['is smooth on the entire surface',
       'contains large cavities cause by explosions',
       'contains an internal core of cheese', 'is filled with lakes'],
      dtype=object)}",چاند کی سطح,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پوری سطح پر ہموار ہے', 'دھماکوں کی وجہ سے بنے بڑے گڑھے رکھتی ہے',
       'اس کا اندرونی مرکز پنیر کا بنا ہوا ہے', 'جھیلوں سے بھری ہوئی ہے'],
      dtype=object)}",B
1310,Greenhouses,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['trap the dangerous gases released by plants',
       'protect plants from snow and frost',
       'keep plants from getting warm',
       'protect plants from mild weather'], dtype=object)}",گرین ہاؤسز,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پودوں سے خارج ہونے والی خطرناک گیسوں کو قید کرتے ہیں',
       'پودوں کو برف اور پالے سے بچاتے ہیں',
       'پودوں کو گرم ہونے سے روکتے ہیں',
       'پودوں کو معتدل موسم سے بچاتے ہیں'], dtype=object)}",B
1157,Earth rotating causes,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the cycling of AM and PM', 'the creation of volcanic eruptions',
       'the cycling of the tides', 'the creation of gravity'],
      dtype=object)}",زمین کی گردش سبب بنتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صبح اور شام کے چکر کا', 'آتش فشانی پھٹنے کا', 'مدوجزر کے چکر کا',
       'کشش ثقل کے بننے کا'], dtype=object)}",A
9-672,which one of these can help a person cook their food?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a stack of clothes', 'a stack of cans', 'a pack of cigarettes',
       'a counter cooker appliance'], dtype=object)}",ان میں سے کون سی چیز کسی شخص کو کھانا پکانے میں مدد دے سکتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کپڑوں کا ڈھیر', 'کین کا ڈھیر', 'سگریٹ کا پیکٹ',
       'کاؤنٹر پر رکھنے والا کھانا پکانے کا آلہ'], dtype=object)}",D
8-203,Sunlight produces heat that causes,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['dogs to bark', 'stones to form', 'warmth on bodies',
       'plastic to form'], dtype=object)}",سورج کی روشنی سے حرارت پیدا ہوتی ہے جو سبب بنتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کتوں کے بھونکنے کا', 'پتھروں کے بننے کا', 'جسموں پر گرماہٹ کا',
       'پلاسٹک کے بننے کا'], dtype=object)}",C
8-37,with which could you tell the exact size of an object?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a plain stick with irregular shape',
       'a plastic tape with graduated markings',
       'a thermometer with mercury in it', 'a metal cooking spoon'],
      dtype=object)}",آپ کس چیز سے کسی شے کا بالکل صحیح سائز بتا سکتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک بے ترتیب شکل والی سادہ چھڑی',
       'پیمائشی نشانات والا ایک پلاسٹک کا فیتہ',
       'ایک پارے والا تھرمامیٹر', 'دھات کا ایک پکانے والا چمچ'],
      dtype=object)}",B
